Trained On,Tested Against,Num Stpes,WALKING,U-STAIRS,D-STAIRS,SITTING,STANDING,LAYING
real,real,500,0.9888888888888889,0.9814814814814815,0.9444444444444444,0.8444444444444444,0.8962962962962963,1.0
real,fake,500,0.9296296296296296,0.8444444444444444,0.8481481481481481,0.8037037037037037,0.8814814814814815,0.9888888888888889
fake,real,500,0.8777777777777778,0.8851851851851852,0.9666666666666667,0.8518518518518519,0.8629629629629629,1.0
fake,fake,500,0.9333333333333333,0.9037037037037037,0.8962962962962963,0.825925925925926,0.9111111111111111,0.9851851851851852
real,real,500,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.8185185185185185,0.9074074074074074,1.0
real,fake,500,0.8814814814814815,0.8703703703703703,0.8925925925925926,0.8296296296296296,0.8888888888888888,0.9962962962962963
fake,real,500,0.8444444444444444,0.8814814814814815,0.9703703703703703,0.8,0.8777777777777778,1.0
fake,fake,500,0.9444444444444444,0.9,0.8925925925925926,0.8814814814814815,0.8962962962962963,1.0
real,real,500,0.9785310734463277,0.9322033898305084,0.9514124293785311,0.8463276836158192,0.8994350282485876,1.0
real,fake,500,0.9585555555555556,0.8937777777777778,0.9122222222222223,0.8498888888888889,0.8903333333333333,0.9945555555555555
fake,real,500,0.9480225988700565,0.9502824858757062,0.9661016949152542,0.8587570621468926,0.8677966101694915,1.0
fake,fake,500,0.9753333333333334,0.9514444444444444,0.9702222222222222,0.8957777777777778,0.9161111111111111,0.9976666666666667
real,real,500,0.9814814814814815,0.9,0.9518518518518518,0.8222222222222222,0.8740740740740741,1.0
real,fake,500,0.9,0.8333333333333334,0.8481481481481481,0.8740740740740741,0.8888888888888888,0.9925925925925926
fake,real,500,0.8740740740740741,0.8740740740740741,0.9703703703703703,0.8185185185185185,0.8629629629629629,1.0
fake,fake,500,0.8481481481481481,0.8925925925925926,0.9111111111111111,0.8666666666666667,0.9,0.9925925925925926
real,real,1000,0.9814814814814815,0.9407407407407408,0.9851851851851852,0.8111111111111111,0.8703703703703703,1.0
real,fake,1000,0.8296296296296296,0.8518518518518519,0.5296296296296297,0.8333333333333334,0.8111111111111111,0.6296296296296297
fake,real,1000,0.8629629629629629,0.17407407407407408,0.7148148148148148,0.7962962962962963,0.8037037037037037,0.825925925925926
fake,fake,1000,0.5740740740740741,0.9444444444444444,0.6814814814814815,0.5370370370370371,0.5407407407407407,0.5740740740740741
real,real,1000,0.9717514124293786,0.9638418079096045,0.9502824858757062,0.8677966101694915,0.9163841807909604,1.0
real,fake,1000,0.8155555555555556,0.8288888888888889,0.6966666666666667,0.8272222222222222,0.8355555555555556,0.6694444444444444
fake,real,1000,0.2689265536723164,0.17175141242937852,0.7570621468926554,0.8225988700564971,0.8203389830508474,0.27231638418079096
fake,fake,1000,0.7166666666666667,0.9027777777777778,0.7794444444444445,0.6888888888888889,0.6666666666666666,0.7627777777777778
real,real,1000,0.984180790960452,0.9525423728813559,0.9389830508474576,0.8418079096045198,0.8994350282485876,1.0
real,fake,1000,0.8466666666666667,0.8283333333333334,0.7327777777777778,0.8294444444444444,0.8322222222222222,0.5044444444444445
fake,real,1000,0.42033898305084744,0.16271186440677965,0.7457627118644068,0.8372881355932204,0.8011299435028248,0.07570621468926554
fake,fake,1000,0.7527777777777778,0.9088888888888889,0.7733333333333333,0.6683333333333333,0.7088888888888889,0.7061111111111111
real,real,1000,0.9796610169491525,0.9706214689265537,0.9581920903954803,0.8621468926553673,0.9084745762711864,1.0
real,fake,1000,0.8444444444444444,0.7911111111111111,0.7783333333333333,0.8272222222222222,0.8366666666666667,0.6433333333333333
fake,real,1000,0.2858757062146893,0.17740112994350282,0.7627118644067796,0.8395480225988701,0.8293785310734463,0.23389830508474577
fake,fake,1000,0.7188888888888889,0.93,0.7883333333333333,0.7022222222222222,0.6788888888888889,0.7483333333333333
real,real,1000,0.9796610169491525,0.9661016949152542,0.9649717514124294,0.8429378531073446,0.9073446327683616,1.0
real,fake,1000,0.8305555555555556,0.8261111111111111,0.7738888888888888,0.8233333333333334,0.8366666666666667,0.6066666666666667
fake,real,1000,0.2135593220338983,0.15593220338983052,0.8836158192090395,0.8429378531073446,0.8112994350282486,0.18757062146892656
fake,fake,1000,0.68,0.91,0.8033333333333333,0.7177777777777777,0.71,0.7711111111111111
real,real,1000,0.9740112994350283,0.943502824858757,0.9593220338983051,0.8384180790960452,0.9310734463276836,1.0
real,fake,1000,0.8283333333333334,0.84,0.7688888888888888,0.8233333333333334,0.8194444444444444,0.5677777777777778
fake,real,1000,0.18870056497175142,0.15932203389830507,0.8836158192090395,0.8508474576271187,0.8090395480225989,0.21807909604519773
fake,fake,1000,0.7816666666666666,0.9372222222222222,0.7816666666666666,0.7016666666666667,0.6983333333333334,0.7916666666666666
real,real,1000,0.9785310734463277,0.9525423728813559,0.9559322033898305,0.8497175141242937,0.9141242937853107,1.0
real,fake,1000,0.8227777777777778,0.8316666666666667,0.7994444444444444,0.8338888888888889,0.83,0.5483333333333333
fake,real,1000,0.8327683615819209,0.16045197740112993,0.8734463276836159,0.8531073446327684,0.8180790960451978,0.19887005649717515
fake,fake,1000,0.7638888888888888,0.9277777777777778,0.7911111111111111,0.7111111111111111,0.6983333333333334,0.7822222222222223
real,real,1000,0.9740112994350283,0.9536723163841808,0.9627118644067797,0.8169491525423729,0.9062146892655367,1.0
real,fake,1000,0.815,0.8366666666666667,0.7655555555555555,0.8244444444444444,0.8505555555555555,0.5466666666666666
fake,real,1000,0.19661016949152543,0.1536723163841808,0.8531073446327684,0.8395480225988701,0.7943502824858757,0.19096045197740114
fake,fake,1000,0.7927777777777778,0.9055555555555556,0.7683333333333333,0.7011111111111111,0.6994444444444444,0.7261111111111112
real,real,1000,0.976271186440678,0.9638418079096045,0.9683615819209039,0.8632768361581921,0.8937853107344633,1.0
real,fake,1000,0.8227777777777778,0.8272222222222222,0.7777777777777778,0.8205555555555556,0.8322222222222222,0.5761111111111111
fake,real,1000,0.16836158192090395,0.13898305084745763,0.8689265536723164,0.8180790960451978,0.8180790960451978,0.1977401129943503
fake,fake,1000,0.7533333333333333,0.9266666666666666,0.7955555555555556,0.7238888888888889,0.6944444444444444,0.7366666666666667
real,real,1000,0.9751412429378531,0.9468926553672317,0.96045197740113,0.848587570621469,0.9062146892655367,1.0
real,fake,1000,0.8283333333333334,0.825,0.7955555555555556,0.8316666666666667,0.8383333333333334,0.5644444444444444
fake,real,1000,0.18870056497175142,0.15028248587570622,0.8768361581920904,0.831638418079096,0.8090395480225989,0.1864406779661017
fake,fake,1000,0.715,0.9205555555555556,0.7783333333333333,0.73,0.6833333333333333,0.7633333333333333
real,real,1000,0.984180790960452,0.9661016949152542,0.9672316384180791,0.848587570621469,0.8836158192090395,1.0
