Trained On,Tested Against,Num Stpes,WALKING,U-STAIRS,D-STAIRS,SITTING,STANDING,LAYING
real,real,500,0.9739130434782608,0.9484536082474228,0.8275862068965518,0.65,0.7407407407407407,1.0
real,fake,500,0.7076923076923077,0.6037735849056602,0.6917293233082706,0.5225225225225225,0.6521739130434783,0.9702970297029703
fake,real,500,0.7755102040816326,0.743801652892562,0.8888888888888891,0.5454545454545454,0.6942148760330578,1.0
fake,fake,500,0.8163265306122448,0.7450980392156863,0.7666666666666667,0.6050420168067226,0.8032786885245902,0.9607843137254902
real,real,500,0.9038461538461539,0.9090909090909091,0.888888888888889,0.5950413223140496,0.7967479674796749,1.0
real,fake,500,0.6190476190476191,0.6728971962616822,0.7642276422764229,0.603448275862069,0.7222222222222223,0.9870129870129869
fake,real,500,0.6956521739130436,0.7575757575757575,0.9130434782608696,0.27027027027027023,0.7555555555555554,1.0
fake,fake,500,0.8818897637795275,0.7476635514018692,0.7679999999999999,0.6862745098039216,0.7704918032786885,1.0
real,real,500,0.9396825396825397,0.8295454545454546,0.8480565371024735,0.6565656565656565,0.7834549878345499,1.0
real,fake,500,0.8694434721736086,0.7441113490364026,0.7801892042292711,0.6305715066994805,0.7138300956799073,0.9838230439088808
fake,real,500,0.8662790697674418,0.8580645161290322,0.8846153846153845,0.4813278008298755,0.7370786516853933,1.0
fake,fake,500,0.9315659679408138,0.8680157052250076,0.9153506001263424,0.7593637762955362,0.8020969855832241,0.9930209371884346
real,real,500,0.9549549549549549,0.7272727272727273,0.8686868686868686,0.6307692307692309,0.7424242424242423,1.0
real,fake,500,0.5846153846153845,0.6616541353383458,0.616822429906542,0.6599999999999999,0.6590909090909091,0.9795918367346939
fake,real,500,0.7638888888888888,0.6666666666666666,0.9111111111111111,0.6016260162601627,0.7299270072992701,1.0
fake,fake,500,0.6719999999999999,0.7786259541984734,0.7142857142857143,0.7049180327868853,0.7216494845360825,0.9795918367346939
real,real,1000,0.9367088607594937,0.8400000000000001,0.9393939393939393,0.6832298136645962,0.75177304964539,1.0
real,fake,1000,nan,nan,0.2742857142857143,nan,nan,0.1935483870967742
fake,real,1000,nan,0.29652996845425866,nan,nan,nan,nan
fake,fake,1000,0.34285714285714286,0.823529411764706,0.3582089552238805,0.27745664739884396,0.31868131868131866,0.3352601156069364
real,real,1000,0.9180327868852459,0.9036144578313252,0.8382352941176471,0.7220902612826603,0.8112244897959184,1.0
real,fake,1000,0.005988023952095808,0.006451612903225807,0.14953271028037382,0.006389776357827477,nan,0.18826739427012282
fake,real,1000,0.30355220667384286,0.2931533269045323,nan,nan,nan,0.15926892950391644
fake,fake,1000,0.5321100917431192,0.7688243064729194,0.46132971506105835,0.4563106796116505,0.4307400379506641,0.5281767955801105
real,real,1000,0.9485294117647058,0.8695652173913043,0.8187919463087248,0.6713615023474178,0.7915690866510537,1.0
real,fake,1000,nan,0.019047619047619046,0.17777777777777778,nan,nan,0.24915824915824916
fake,real,1000,0.16039279869067105,0.2798833819241982,nan,nan,nan,0.1407563025210084
fake,fake,1000,0.518918918918919,0.7747252747252746,0.5142857142857141,0.43088655862726405,0.4653061224489796,0.4976258309591643
real,real,1000,0.9467455621301774,0.9226190476190476,0.8624535315985129,0.6950000000000001,0.7851458885941645,1.0
real,fake,1000,0.014084507042253521,0.07389162561576354,0.06993006993006992,0.012698412698412698,nan,0.21897810218978103
fake,real,1000,0.3389121338912134,0.3013435700575816,nan,nan,nan,nan
fake,fake,1000,0.49196787148594373,0.8278688524590164,0.5392986698911728,0.44742268041237115,0.40534979423868306,0.5185972369819342
real,real,1000,0.9502762430939227,0.9006622516556291,0.8821292775665399,0.6666666666666666,0.8,1.0
real,fake,1000,0.019292604501607715,0.04863221884498481,0.08126410835214447,nan,nan,0.25630252100840334
fake,real,1000,0.3307692307692308,0.26979472140762467,0.24817518248175183,nan,nan,0.29301868239921336
fake,fake,1000,0.47540983606557374,0.7731092436974789,0.5354330708661418,0.4879032258064516,0.4301310043668122,0.5452538631346578
real,real,1000,0.9274447949526814,0.847560975609756,0.8656716417910448,0.6416040100250626,0.8455696202531645,1.0
real,fake,1000,0.019047619047619046,0.02040816326530612,0.09170305676855894,0.012422360248447206,nan,0.2618595825426945
fake,real,1000,0.29051383399209485,0.27485380116959063,0.27972027972027974,nan,nan,0.33333333333333337
fake,fake,1000,0.5832449628844115,0.8290468986384266,0.49027237354085607,0.4750733137829911,0.49109653233364575,0.576271186440678
real,real,1000,0.939297124600639,0.8679245283018867,0.8668941979522184,0.6580976863753214,0.805128205128205,1.0
real,fake,1000,0.01846153846153846,0.2210796915167095,0.026954177897574122,0.006644518272425249,nan,0.2682268226822682
fake,real,1000,nan,0.27653359298928915,0.2222222222222222,nan,nan,0.31098153547133145
fake,fake,1000,0.5493107104984093,0.818941504178273,0.4973262032085562,0.4758064516129033,0.4430769230769231,0.5682819383259912
real,real,1000,0.9283489096573209,0.8673139158576051,0.8791208791208791,0.6351351351351351,0.8134831460674158,1.0
real,fake,1000,0.040345821325648415,0.039215686274509796,0.10593220338983052,0.006289308176100628,nan,0.25274725274725274
fake,real,1000,0.2967359050445104,0.2664054848188051,nan,nan,nan,0.2882703777335984
fake,fake,1000,0.6044538706256627,0.7696476964769648,0.5134189031505251,0.45213849287169044,0.44169246646026833,0.521823472356935
real,real,1000,0.9337539432176657,0.8848920863309353,0.900709219858156,0.7192575406032482,0.7729468599033817,1.0
real,fake,1000,0.03625377643504532,0.012698412698412697,0.13043478260869565,nan,nan,0.26422372227579555
fake,real,1000,0.28820116054158607,0.24404761904761904,0.2368421052631579,nan,nan,0.306640625
fake,fake,1000,0.5478615071283096,0.819672131147541,0.4888888888888888,0.49645390070921985,0.43647540983606553,0.5031446540880503
real,real,1000,0.9337349397590361,0.8448844884488448,0.8638132295719846,0.6839622641509433,0.8019093078758951,1.0
real,fake,1000,0.07207207207207207,0.006309148264984227,0.06122448979591836,0.006557377049180328,nan,0.2519083969465649
fake,real,1000,0.3082851637764933,0.2612966601178782,0.11382113821138212,nan,nan,0.305019305019305
fake,fake,1000,0.5118934348239772,0.8070175438596491,0.5128205128205128,0.474025974025974,0.4242424242424243,0.5525210084033614
real,real,1000,0.9527027027027027,0.8897058823529411,0.8844621513944223,0.7184873949579831,0.7541766109785204,1.0
real,fake,1000,0.017045454545454544,0.006514657980456026,0.12236286919831225,0.012618296529968454,nan,0.26506024096385544
fake,real,1000,0.28402366863905326,0.24578790882061446,0.22727272727272727,nan,nan,0.3178294573643411
fake,fake,1000,0.5977443609022557,0.7962466487935658,0.518628912071535,0.45228215767634855,0.475,0.5628997867803838
