Trained On,Tested Against,Num Stpes,WALKING,U-STAIRS,D-STAIRS,SITTING,STANDING,LAYING
real,real,2000,0.9962962962962963,0.9814814814814815,0.9925925925925926,0.9333333333333333,0.9333333333333333,1.0
real,fake,2000,0.8666666666666667,0.9629629629629629,0.9444444444444444,0.8740740740740741,0.8555555555555555,1.0
fake,real,2000,0.9740740740740741,0.9555555555555556,0.9740740740740741,0.8481481481481481,0.8111111111111111,1.0
fake,fake,2000,0.9555555555555556,0.9777777777777777,0.9740740740740741,0.9777777777777777,0.9703703703703703,1.0
real,real,2000,1.0,0.9925925925925926,0.9888888888888889,0.9111111111111111,0.9259259259259259,1.0
real,fake,2000,0.9185185185185185,0.9444444444444444,0.9555555555555556,0.8592592592592593,0.837037037037037,1.0
fake,real,2000,0.9740740740740741,0.9518518518518518,0.9629629629629629,0.8518518518518519,0.8555555555555555,1.0
fake,fake,2000,0.9740740740740741,0.9407407407407408,0.9629629629629629,0.9666666666666667,0.9740740740740741,1.0
real,real,2000,0.9962962962962963,0.9888888888888889,0.9888888888888889,0.9074074074074074,0.9185185185185185,1.0
real,fake,2000,0.9333333333333333,0.9444444444444444,0.9296296296296296,0.8629629629629629,0.8703703703703703,1.0
fake,real,2000,0.9518518518518518,0.9222222222222223,0.9777777777777777,0.8296296296296296,0.7851851851851852,1.0
fake,fake,2000,0.9814814814814815,0.9444444444444444,0.9481481481481482,0.9555555555555556,0.9629629629629629,1.0
real,real,2000,0.9888888888888889,0.9925925925925926,0.9777777777777777,0.9407407407407408,0.9444444444444444,1.0
real,fake,2000,0.9407407407407408,0.9481481481481482,0.937037037037037,0.8444444444444444,0.8518518518518519,1.0
fake,real,2000,0.9629629629629629,0.9037037037037037,0.9777777777777777,0.8481481481481481,0.8555555555555555,1.0
fake,fake,2000,0.9703703703703703,0.9629629629629629,0.9814814814814815,0.9814814814814815,0.9740740740740741,1.0
real,real,500,1.0,0.9851851851851852,0.9888888888888889,0.9037037037037037,0.9074074074074074,1.0
real,fake,500,0.8703703703703703,0.9111111111111111,0.9,0.8592592592592593,0.8814814814814815,0.9888888888888889
fake,real,500,0.9851851851851852,0.9481481481481482,0.9666666666666667,0.8555555555555555,0.8592592592592593,1.0
fake,fake,500,0.9814814814814815,0.9407407407407408,0.9444444444444444,0.9444444444444444,0.9518518518518518,0.9925925925925926
real,real,2000,0.9962962962962963,0.9925925925925926,0.9925925925925926,0.9407407407407408,0.9407407407407408,1.0
real,fake,2000,0.9111111111111111,0.8962962962962963,0.937037037037037,0.8703703703703703,0.8592592592592593,1.0
fake,real,2000,0.9777777777777777,0.9407407407407408,0.9629629629629629,0.8296296296296296,0.8296296296296296,1.0
fake,fake,2000,0.9777777777777777,0.9333333333333333,0.9777777777777777,0.9777777777777777,0.9777777777777777,1.0
