Trained On,Tested Against,Num Stpes,WALKING,U-STAIRS,D-STAIRS,SITTING,STANDING,LAYING
real,real,2000,0.9915966386554621,0.9411764705882352,0.9743589743589743,0.7804878048780488,0.7954545454545455,1.0
real,fake,2000,0.6086956521739131,0.84375,0.8484848484848485,0.575,0.4507042253521127,1.0
fake,real,2000,0.9401709401709402,0.8421052631578948,0.9014084507042254,0.34920634920634924,0.4137931034482759,1.0
fake,fake,2000,0.896551724137931,0.911764705882353,0.9230769230769231,0.9210526315789473,0.8918918918918919,1.0
real,real,2000,1.0,0.975609756097561,0.967741935483871,0.6363636363636364,0.7826086956521738,1.0
real,fake,2000,0.6451612903225806,0.8275862068965518,0.8799999999999999,0.6041666666666667,0.40540540540540543,1.0
fake,real,2000,0.9380530973451328,0.8169014084507042,0.878048780487805,0.4444444444444444,0.41791044776119407,1.0
fake,fake,2000,0.9156626506024096,0.8048780487804879,0.888888888888889,0.891566265060241,0.9230769230769231,1.0
real,real,2000,0.98989898989899,0.968421052631579,0.955223880597015,0.7126436781609196,0.78,1.0
real,fake,2000,0.7352941176470588,0.7945205479452054,0.8503937007874016,0.5194805194805195,0.5454545454545454,1.0
fake,real,2000,0.8712871287128714,0.7272727272727273,0.9032258064516129,0.32352941176470584,0.36956521739130427,1.0
fake,fake,2000,0.9382716049382716,0.810126582278481,0.8727272727272727,0.8181818181818182,0.8979591836734694,1.0
real,real,2000,0.970873786407767,0.9795918367346939,0.9268292682926829,0.7714285714285714,0.8514851485148516,1.0
real,fake,2000,0.7499999999999999,0.851063829787234,0.8247422680412371,0.5714285714285714,0.42857142857142855,1.0
fake,real,2000,0.9137931034482758,0.6486486486486486,0.923076923076923,0.4057971014492754,0.48,1.0
fake,fake,2000,0.8918918918918919,0.8979591836734695,0.9397590361445782,0.9382716049382717,0.9213483146067416,1.0
real,real,500,1.0,0.951219512195122,0.9702970297029703,0.7045454545454546,0.7524752475247524,1.0
real,fake,500,0.4262295081967213,0.7391304347826085,0.737864077669903,0.32142857142857145,0.6363636363636364,0.967032967032967
fake,real,500,0.9574468085106383,0.787878787878788,0.9052631578947368,0.3389830508474576,0.7076923076923076,1.0
fake,fake,500,0.945054945054945,0.813953488372093,0.8314606741573034,0.7945205479452055,0.8571428571428571,0.9777777777777777
real,real,2000,0.989010989010989,0.9777777777777777,0.9743589743589743,0.8181818181818182,0.8461538461538461,1.0
real,fake,2000,0.6756756756756757,0.6315789473684211,0.8316831683168316,0.6464646464646464,0.5128205128205129,1.0
fake,real,2000,0.9387755102040816,0.7837837837837838,0.8571428571428571,0.3428571428571428,0.5208333333333333,1.0
fake,fake,2000,0.9361702127659574,0.7631578947368421,0.9318181818181818,0.9249999999999999,0.9375,1.0
