Trained On,Tested Against,Num Stpes,WALKING,U-STAIRS,D-STAIRS,SITTING,STANDING,LAYING
real,real,2000,1.0,0.9523809523809523,0.9743589743589743,0.8888888888888888,0.7954545454545454,1.0
real,fake,2000,1.0,0.84375,0.7924528301886793,0.575,0.5,1.0
fake,real,2000,0.9649122807017544,0.9696969696969697,1.0,0.6470588235294118,0.4186046511627907,1.0
fake,fake,2000,1.0,0.8611111111111112,0.9333333333333333,0.9722222222222222,0.9428571428571428,1.0
real,real,2000,1.0,0.975609756097561,0.9574468085106383,0.75,0.75,1.0
real,fake,2000,1.0,0.8372093023255814,0.8461538461538461,0.5576923076923077,0.5357142857142857,1.0
fake,real,2000,0.8983050847457628,0.9666666666666667,1.0,0.47058823529411764,0.6086956521739131,1.0
fake,fake,2000,0.926829268292683,0.868421052631579,0.9523809523809523,0.9487179487179487,0.9333333333333333,1.0
real,real,2000,1.0,1.0,0.9696969696969697,0.8157894736842105,0.7222222222222222,1.0
real,fake,2000,0.9615384615384616,0.8787878787878788,0.782608695652174,0.47619047619047616,0.75,1.0
fake,real,2000,0.8627450980392157,1.0,1.0,0.5789473684210527,0.3695652173913043,1.0
fake,fake,2000,0.9743589743589743,0.8205128205128205,0.9230769230769231,0.8709677419354839,0.8979591836734694,1.0
real,real,2000,1.0,0.9795918367346939,0.95,0.9,0.7818181818181819,1.0
real,fake,2000,1.0,0.975609756097561,0.7272727272727273,0.509090909090909,0.6,1.0
fake,real,2000,0.8412698412698413,0.96,1.0,0.4827586206896552,0.6206896551724138,1.0
fake,fake,2000,0.9705882352941176,0.9777777777777777,0.9512195121951219,1.0,0.9318181818181818,1.0
real,real,500,1.0,0.9285714285714286,1.0,0.775,0.7307692307692307,1.0
real,fake,500,1.0,0.7391304347826086,0.6785714285714286,0.5,0.6829268292682927,0.9361702127659575
fake,real,500,0.9375,1.0,1.0,0.9090909090909091,0.5679012345679012,1.0
fake,fake,500,1.0,0.875,0.8809523809523809,0.8285714285714286,0.8863636363636364,0.9565217391304348
real,real,2000,1.0,0.9565217391304348,1.0,0.8571428571428571,0.8301886792452831,1.0
real,fake,2000,0.9615384615384616,0.7272727272727273,0.7368421052631579,0.5714285714285714,0.6666666666666666,1.0
fake,real,2000,0.8846153846153846,0.9666666666666667,1.0,0.5,0.5555555555555556,1.0
fake,fake,2000,0.9565217391304348,0.8787878787878788,0.9318181818181818,1.0,0.9375,1.0
